ID,ans
0,0.99979836
1,0.3495431
2,1.3118762e-10
3,0.9956025
4,0.96535546
5,0.9983291
6,0.0015191127
7,0.86576444
8,0.53597593
9,0.03858913
10,0.023842596
11,0.9915285
12,2.2509776e-06
13,1.0918911e-06
14,0.9996855
15,0.9995328
16,0.010231981
17,0.9969921
18,4.7994146e-09
19,8.5888324e-08
20,0.9989485
21,1.0474441e-06
22,0.0005451548
23,0.99999845
24,1.2115926e-09
25,0.00071382086
26,0.22524157
27,1.5398479e-07
28,0.9964384
29,0.9889952
30,1.4426793e-09
31,0.9988783
32,0.00048591112
33,2.309444e-09
34,0.74726444
35,0.002368865
36,0.99987125
37,0.0015719555
38,0.99824715
39,0.28441134
40,0.00054420007
41,4.391807e-10
42,0.99221295
43,3.208472e-06
44,5.729313e-08
45,0.99985456
46,0.9886341
47,0.5964697
48,6.0597154e-06
49,0.16759914
50,0.00020281864
51,0.99765295
52,0.95860726
53,0.9997986
54,5.5379573e-08
55,0.9979646
56,0.917108
57,0.9977591
58,0.9993331
59,0.9972964
60,2.5136453e-06
61,0.00087149726
62,0.9993948
63,0.00042264725
64,4.0330454e-11
65,1.2946226e-06
66,0.0026236824
67,2.2644585e-05
68,0.9999956
69,0.9965455
70,1.0181749e-10
71,0.947768
72,1.2717717e-09
73,0.9465364
74,2.1965798e-07
75,0.94998145
76,0.99974316
77,0.9128259
78,0.077134624
79,1.9027379e-14
80,0.00151601
81,0.9526015
82,0.004637937
83,0.9871338
84,0.3419818
85,0.99610966
86,3.5227896e-10
87,6.934995e-08
88,0.9829449
89,0.99949265
90,0.93960214
91,9.5468604e-05
92,3.2064264e-08
93,2.0183187e-07
94,0.9999783
95,0.9807468
96,0.703151
97,0.08292097
98,0.00092031097
99,2.5614397e-10
100,0.0018014292
101,0.9999733
102,0.0006858426
103,0.014461165
104,0.99526644
105,1.9299152e-12
106,0.93568325
107,0.97011125
108,0.9993444
109,0.9998149
110,0.99256456
111,0.99592483
112,0.86942184
113,0.99951506
114,0.6168263
115,0.533446
116,0.99823064
117,0.08043254
118,9.1985626e-08
119,0.00041220788
120,0.75754726
121,0.46252257
